Longitude	Latitude	Name
41.91434	-87.62742	Lincoln Park Zoo
41.966794	-87.687121	Lincoln Quality Meat Market
41.884338	-87.62501	Loop Tour Train
41.895024	-87.624399	Magnificent Mile
41.852309	-87.612769	McCormick Place
41.882692	-87.624015	McCormick-Tribune Ice Rink
42.065117	-88.079284	Medieval Times Dinner & Tournament
41.856037	-87.672304	Mexican Fine Arts Center Museum
41.893472	-87.633915	Gino's East
41.789463	-87.596583	Midway Plaisance Ice Rink
41.8834	-87.6263	Millennium Park
41.911478	-87.632932	"Moody Church, (The)"
41.896891	-87.62294	Museum of Contemporary Art
41.7924	-87.5803	Museum of Science and Industry
41.8921	-87.609715	Navy Pier (Amazing Chicago Funhouse Maze)
42.152131	-87.817099	Northbrook Court
41.882037	-87.639975	Northwestern Station
41.926234	-87.634061	Notebaert Nature Museum
41.900932	-87.624397	Oak Street Beach
41.889088	-87.629179	Harry Caray's
41.858955	-87.620615	O'Leary's Fire Truck Tours
41.883357	-87.653414	Oprah Winfrey Show (The)
41.618556	-87.843472	Orland Square Shopping Center
41.877163	-87.704082	Our Lady of Sorrows Basilica
41.883237	-87.648926	Party Bus (The)
41.876564	-87.648483	Philip Nearing School of Wing Chun
42.159841	-87.772884	Ravinia Festival
41.596263	-87.555283	River Oaks Center
41.78908	-87.596583	Rockefeller Memorial Chapel
41.879263	-87.632115	Rookery Building
41.705863	-87.681783	Saint Patrick's Day Parade - South Side
41.879	-87.6364	Sears Tower Skydeck
41.878137	-87.642683	Ed Debvic's
42.368155	-87.925526	Six Flags Great America
41.887859	-87.621824	Spa Di La Fronza Salon
41.872436	-87.666276	St. Basil Greek Orthodox Church
41.906063	-87.661962	St. Stanislaus Kostka Church
41.95118	-88.113479	Stratford Square Mall
41.876725	-87.620783	Taste of Chicago
41.880568	-87.624015	The Art Institute of Chicago
41.87893	-87.639415	Union Station
41.790112	-87.601047	University of Chicago (The)
41.892528	-87.6313	Untouchable Tours
41.875541	-87.617483	Venetian Night
41.897964	-87.623915	Water Tower Place
41.889364	-87.624455	(Michigan Avenue Bridge) Wendella Sightseeing Boats
42.0494	-88.037906	Woodfield Mall
41.8398	-88.010588	Yorktown Center
-84.512995	39.100179	American Classical Music Hall of Fame
-84.539949	39.143578	American Sign Museum
-84.623955	39.076077	Anderson Ferry
-84.511909	39.103588	Aronoff Center for the Arts
-84.500786	39.093479	BB Riverboats Inc
-84.522392	39.303249	Bass Pro Shops
-84.538678	39.081195	Behringer-Crawford Museum
-84.939545	38.780567	Belterra Casino Resort & Spa
-84.747559	38.888981	Big Bone Lick State Park
-84.735328	39.016108	Briarwood Farm
-84.6934	38.890022	Bridlewood Farm
-84.512962	39.100736	Carew Tower
-84.520317	39.083784	Carrol Chimes Bell Tower
